Sr.,Stock Name,Symbol,close,%_change,volume,Add Column
"301","Asian Paints Limited","ASIANPAINT","2,184.3","0.71%","20,48,228",""
"302","Cipla Limited","CIPLA","1,200.9","0.71%","21,88,849",""
"303","Whirlpool Of India Limited","WHIRLPOOL","820.15","0.71%","2,27,757",""
"304","Kotak Mahindra Bank Limited","KOTAKBANK","360.55","0.71%","1,83,20,378",""
"305","Privi Speciality Chemicals Ltd","PRIVISCL","2,961.7","0.7%","46,989",""
"306","Jsw Holdings Limited","JSWHL","11,998","0.69%","3,561",""
"307","Adani Ports And Special Economic Zone Limited","ADANIPORTS","1,387.1","0.69%","25,19,628",""
"308","Castrol India Limited","CASTROLIND","179.14","0.69%","9,89,066",""
"309","Gland Pharma Ltd","GLAND","1,700","0.68%","63,619",""
"310","Itc Limited","ITC","294.85","0.68%","1,80,47,063",""
"311","Adani Total Gas Ltd","ATGL","523.45","0.65%","17,09,257",""
"312","Afcons Infrastructure Ltd","AFCONS","285.55","0.65%","2,51,972",""
"313","Nava Ltd","NAVA","563.65","0.63%","1,30,244",""
"314","Hindustan Petroleum Corporation Limited","HINDPETRO","328.05","0.63%","50,89,386",""
"315","Jupiter Wagons Ltd","JWL","258.22","0.63%","17,91,139",""
"316","Glenmark Pharmaceuticals Limited","GLENMARK","2,104.8","0.62%","5,82,698",""
"317","Torrent Pharmaceuticals Limited","TORNTPHARM","4,011.6","0.61%","4,20,340",""
"318","Tube Investments of India Ltd","TIINDIA","2,582.9","0.61%","2,55,370",""
"319","Godrej Agrovet Ltd","GODREJAGRO","573.2","0.61%","1,27,771",""
"320","Indian Railway Catering & Tourism Corporation Ltd","IRCTC","514.7","0.57%","11,54,102",""
"321","New India Assurance Company Ltd","NIACL","123.93","0.57%","6,11,355",""
"322","Tech Mahindra Limited","TECHM","1,449.5","0.56%","14,76,736",""
"323","Coforge (Niit Tech) Ltd","COFORGE","1,220.2","0.56%","29,94,825",""
"324","Poonawalla Fincorp Ltd","POONAWALLA","395.5","0.56%","11,62,773",""
"325","Indian Renewable Energy Development Agency Ltd","IREDA","115.58","0.56%","88,49,494",""
"326","International Gemmological Institute (India) Ltd","IGIL","322.05","0.53%","2,90,061",""
"327","Mrf Limited","MRF","1,27,045","0.52%","7,634",""
"328","Sjvn Limited","SJVN","67.69","0.52%","55,52,166",""
"329","Aurobindo Pharma Limited","AUROPHARMA","1,340.4","0.5%","15,19,668",""
"330","Cesc Limited","CESC","154.01","0.5%","12,58,314",""
"331","Paradeep Phosphates Ltd","PARADEEP","115.95","0.5%","32,82,057",""
"332","Schaeffler India Ltd","SCHAEFFLER","3,782.7","0.49%","68,166",""
"333","Brigade Enterprises Limited","BRIGADE","690.85","0.48%","2,04,206",""
"334","Emami Limited","EMAMILTD","400.2","0.48%","10,14,478",""
"335","Chalet Hotels Ltd","CHALET","731.95","0.47%","53,332",""
"336","Belrise Industries Ltd","BELRISE","191.67","0.47%","32,50,130",""
"337","Waaree Energies Ltd","WAAREEENER","3,084.7","0.46%","7,05,234",""
"338","Maruti Suzuki India Limited","MARUTI","12,688","0.45%","3,82,650",""
